id,company_name,address,address2,city,state,zip_code,country,phone,intake_phone,hotline,email,website,latitude,longitude,type_facility,type_of_care,service_setting,payment_accepted,special_programs,languages,facility_operation,age_groups_accepted,emergency_services,payment_assistance,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
30,Limen Recovery and Wellness - IOP/OP,828 Wollaston Street,,Wilmington,DE,19801,US,302-655-1153,,,,https://www.limende.org,39.7460794,-75.5531561,,Substance use treatment; Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Outpatient; Residential/24-hour residential,Medicare; Medicaid; Private health insurance; Cash or self-payment,"Seniors or older adults; Veterans; Members of military families; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients who have experienced intimate partner violence, domestic violence; Clients who have experienced trauma; Persons with traumatic brain injury (TBI); Persons with post-traumatic stress disorder (PTSD)",,Private non-profit organization,Young Adults; Seniors,,Payment assistance (check with facility for details),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.052658+00:00,20260326_142037,b939d828c94380e3b9beb4f2cfe3015d,2026-03-25 18:25:37,2026-03-26 14:22:29,0
31,Northeast Treatment Center - Kirkwood Recovery Center,3315 Kirkwood Highway,,Wilmington,DE,19808,US,302-691-0140 3865,302-691-0140,,,https://www.net-centers.org,39.7370634,-75.6288556,,Substance use treatment; Detoxification,Hospital inpatient/24-hour hospital inpatient; Outpatient; Residential/24-hour residential; Hospital inpatient detoxification; Hospital inpatient treatment; Outpatient detoxification; Intensive outpatient treatment; Regular outpatient treatment; Residential detoxification; Short-term residential,"Federal, or any government funding for substance use treatment programs; Medicaid; Private health insurance","Adult women; Pregnant/postpartum women; Adult men; Seniors or older adults; Veterans; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with HIV or AIDS; Clients who have experienced sexual abuse; Clients who have experienced intimate partner violence, domestic violence; Clients who have experienced trauma",Sign language services for the deaf and hard of hearing,Private non-profit organization,Young Adults; Adults,,,samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.052658+00:00,20260326_142037,0dc4b3126b830ed6ffbe345863811401,2026-03-25 18:25:37,2026-03-26 14:22:29,0
32,Limen House - Sober Living for Men 2,624 North Broom Street,,Wilmington,DE,19808,US,302-655-1153,,,,https://www.limende.org,39.7483682,-75.5640517,,"Substance use treatment; Transitional housing, halfway house, or sober home; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children",Residential/24-hour residential; Long-term residential,Medicaid; Cash or self-payment,"Adult women; Pregnant/postpartum women; Adult men; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients with co-occurring pain and substance use disorders; Clients with HIV or AIDS; Clients who have experienced sexual abuse; Clients who have experienced intimate partner violence, domestic violence; Clients who have experienced trauma",,Private non-profit organization,Young Adults; Adults,,Payment assistance (check with facility for details),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.052658+00:00,20260326_142037,b7c20dceaf2313cbe18127cf854d3696,2026-03-25 18:25:37,2026-03-26 14:22:29,0
33,Westside Family Healthcare,1802 West 4th Street,,Wilmington,DE,19805,US,302-655-5822,302-224-6800,,,https://www.westsidehealth.org,39.7481444,-75.5710177,,Substance use treatment; Mental health treatment,Outpatient,"Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Private health insurance; Cash or self-payment; State-financed health insurance plan other than Medicaid",,Spanish,Private non-profit organization,Children/Adolescents; Young Adults; Adults; Seniors,,Sliding fee scale (fee is based on income and other factors),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.052658+00:00,20260326_142037,4c76c42851bc0ea492a45da93c6836de,2026-03-25 18:25:37,2026-03-26 14:22:29,0
34,ChristianaCare - Wilmington Hospital,501 West 14th Street,,Wilmington,DE,19801,US,302-320-2926,302-320-2100,,,https://www.christianacare.org,39.7505545,-75.5505289,,Substance use treatment; Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Hospital inpatient/24-hour hospital inpatient; Outpatient,"Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Private health insurance; Cash or self-payment; State-financed health insurance plan other than Medicaid",Seniors or older adults; Clients with co-occurring mental and substance use disorders; Persons 18 and older with serious mental illness (SMI),,Private non-profit organization,Children/Adolescents; Young Adults; Adults; Seniors,Crisis intervention team; Psychiatric emergency onsite services; Psychiatric emergency walk-in services,,samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.052658+00:00,20260326_142037,337f04b153910fffff81f7814ba1b3cc,2026-03-25 18:25:37,2026-03-26 14:22:29,0
35,Espoir Recovery Healing Services,1016 Delaware Avenue,,Wilmington,DE,19806,US,302-468-4530,,,,https://,39.7519356,-75.5562591,,Substance use treatment; Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Outpatient,Medicare; Medicaid; Private health insurance; Cash or self-payment,"Young adults; Veterans; Active duty military; Members of military families; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients with HIV or AIDS; Clients who have experienced intimate partner violence, domestic violence; Persons with traumatic brain injury (TBI); Persons with Alzheimer's or dementia; Persons with eating disorders; Persons experiencing first-episode psychosis; Persons with post-traumatic stress disorder (PTSD); Persons 18 and older with serious mental illness (SMI)",Spanish,Private for-profit organization,Young Adults; Seniors,,Payment assistance (check with facility for details),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.052658+00:00,20260326_142037,57a97523dcf63ca25abb4a4f38b74c54,2026-03-25 18:25:37,2026-03-26 14:22:29,0
36,Brandywine Counseling and - Community Services,2713 Lancaster Avenue,,Wilmington,DE,19805,US,302-656-2348,,,,https://www.brandywinecounseling.com,39.7504803,-75.582731,,Substance use treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Outpatient; Intensive outpatient treatment; Outpatient methadone/buprenorphine or naltrexone treatment; Regular outpatient treatment,"Federal, or any government funding for substance use treatment programs; Medicare; Medicaid; Private health insurance; Cash or self-payment; State-financed health insurance plan other than Medicaid",Adolescents; Pregnant/postpartum women; Clients with co-occurring mental and substance use disorders; Clients with co-occurring pain and substance use disorders; Clients with HIV or AIDS,Spanish,Private non-profit organization,Children/Adolescents; Young Adults; Adults,,,samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.052658+00:00,20260326_142037,b123dd99ee5ddf64a0a7dd98f15a99ec,2026-03-25 18:25:37,2026-03-26 14:22:29,0
37,Nemours Childrens Hospital - Division of Behavioral Health,1801 Rockland Road,,Wilmington,DE,19803,US,302-651-4500,,,,https://www.nemours.org/welcome.html,39.7815521,-75.5525867,,Mental health treatment,Outpatient,"Medicaid; Federal military insurance (e.g., TRICARE); Private health insurance; Cash or self-payment; State-financed health insurance plan other than Medicaid",Clients who have experienced trauma; Persons with traumatic brain injury (TBI); Persons with eating disorders; Persons with post-traumatic stress disorder (PTSD),Spanish,Private non-profit organization,Children/Adolescents; Adults,,,samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.052658+00:00,20260326_142037,3dc005d582490d91dbc6a89ff197e9f8,2026-03-25 18:25:37,2026-03-26 14:22:29,0
38,Claymont Comprehensive Treatment Ctr - ATS of Delaware LLC,2999 Philadelphia Pike,,Claymont,DE,19703,US,302-792-0700 106,302-792-0700,,,https://www.ctcprograms.com/location/claymont-comprehensiv,39.7970279,-75.4651562,,Substance use treatment,Outpatient; Intensive outpatient treatment; Outpatient methadone/buprenorphine or naltrexone treatment; Regular outpatient treatment,"Federal, or any government funding for substance use treatment programs; Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Private health insurance; Cash or self-payment",Pregnant/postpartum women,,Private for-profit organization,Young Adults; Adults,,,samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.052658+00:00,20260326_142037,b2062b6ed5c844dbdba85f2d957d43a5,2026-03-25 18:25:37,2026-03-26 14:22:29,0
39,Jewish Family Services of Delaware,99 Passmore Road,,Wilmington,DE,19803,US,302-478-9411,302-478-9411 x306,,,https://www.jfsdelaware.org,39.8119959,-75.5519245,,Mental health treatment,Outpatient,"County or local government funds; Community Mental Health Block Grants; Community Service Block Grants; Federal Grants; Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Other State funds; Private health insurance; Private or Community foundation; State corrections or juvenile justice funds; Cash or self-payment; State-financed health insurance plan other than Medicaid; State mental health agency (or equivalent) funds; State welfare or child and family services funds",Young adults; Seniors or older adults; Persons with Alzheimer's or dementia,,Private non-profit organization,Children/Adolescents; Young Adults; Adults; Seniors,,Sliding fee scale (fee is based on income and other factors),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.052658+00:00,20260326_142037,9f9000182e6a7b3d5f12061485a9c12e,2026-03-25 18:25:37,2026-03-26 14:22:29,0
40,La Red Health Center - Georgetown,21444 Carmean Way,,Georgetown,DE,19947,US,302-855-1233 1250,,,,https://www.laredhealthcenter.org,38.7015359,-75.4036364,,Substance use treatment; Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Outpatient,"County or local government funds; Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Other State funds; Private health insurance; State corrections or juvenile justice funds; Cash or self-payment; State-financed health insurance plan other than Medicaid; State mental health agency (or equivalent) funds; State welfare or child and family services funds",,Spanish,Private non-profit organization,Children/Adolescents; Young Adults; Adults; Seniors,,Payment assistance (check with facility for details); Sliding fee scale (fee is based on income and other factors),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.052658+00:00,20260326_142037,377a3dcc0b3bf38689f3a661d6dab545,2026-03-25 18:25:37,2026-03-26 14:22:29,0
41,Brandywine Counseling and - Community Services Inc (BCCS),10 North Railroad Avenue,,Georgetown,DE,19947,US,302-217-5168,,,,https://brandywinecounseling.com,38.6926088,-75.3838967,,Substance use treatment; Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Outpatient,Medicare; Medicaid; Private health insurance; Cash or self-payment,Seniors or older adults; Veterans; Active duty military; Members of military families; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients with HIV or AIDS; Clients who have experienced trauma; Persons with post-traumatic stress disorder (PTSD); Persons 18 and older with serious mental illness (SMI),Spanish,Private non-profit organization,Young Adults; Seniors,,Sliding fee scale (fee is based on income and other factors),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.052658+00:00,20260326_142037,1d05390208e46b8540e7243a0c73008e,2026-03-25 18:25:37,2026-03-26 14:22:29,0
42,Thresholds Inc,6 North Railroad Avenue,,Georgetown,DE,19947,US,302-856-1835,,,,https://www.thresholdsinc.com,38.692506,-75.3837314,,"Substance use treatment; Transitional housing, halfway house, or sober home",Outpatient; Intensive outpatient treatment; Regular outpatient treatment,"Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Private health insurance; Cash or self-payment; State-financed health insurance plan other than Medicaid; SAMHSA funding/block grants","Clients with co-occurring mental and substance use disorders; Clients with co-occurring pain and substance use disorders; Clients with HIV or AIDS; Clients who have experienced sexual abuse; Clients who have experienced intimate partner violence, domestic violence",Spanish,Private for-profit organization,Young Adults; Adults,,Payment assistance (check with facility for details),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.052658+00:00,20260326_142037,8688eb2b3760ac7e676c4070ac80f1cc,2026-03-25 18:25:37,2026-03-26 14:22:29,0
43,Sussex County Comprehensive Treatment,501 West Market Street,,Georgetown,DE,19947,US,302-778-9222,,,,https://www.ctcprograms.com/location/sussex-county-comprehensive-treatment-center/,38.6830672,-75.393446,,Substance use treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Outpatient; Intensive outpatient treatment; Outpatient methadone/buprenorphine or naltrexone treatment; Regular outpatient treatment,"Federal, or any government funding for substance use treatment programs; Medicare; Medicaid; Private health insurance; Cash or self-payment; SAMHSA funding/block grants",,Spanish,Private for-profit organization,Young Adults; Adults,,,samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.052658+00:00,20260326_142037,3dd827b8114740cd8233b09d631c2c5d,2026-03-25 18:25:37,2026-03-26 14:22:29,0
44,DSAMH Bridge Clinic,546 Bedford Street,,Georgetown,DE,19947,US,302-515-3310,,,,https://helpisherede.com,38.6656669,-75.3788363,,Substance use treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Outpatient; Outpatient methadone/buprenorphine or naltrexone treatment; Regular outpatient treatment,"Federal, or any government funding for substance use treatment programs; SAMHSA funding/block grants",,Sign language services for the deaf and hard of hearing,State government,Young Adults; Adults,,Payment assistance (check with facility for details),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.053656+00:00,20260326_142037,bc4a864dd68bcc21cec46b6fac7ab2db,2026-03-25 18:25:37,2026-03-26 14:22:29,0
45,La Red Health Center - Seaford,300 High Street,,Seaford,DE,19973,US,302-855-1233 1250,,,,https://www.laredhealthcenter.org,38.6411683,-75.6122247,,Substance use treatment; Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Outpatient,"County or local government funds; Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Other State funds; Private health insurance; State corrections or juvenile justice funds; Cash or self-payment; State-financed health insurance plan other than Medicaid; State mental health agency (or equivalent) funds; State welfare or child and family services funds",,Spanish,Private non-profit organization,Children/Adolescents; Young Adults; Adults; Seniors,,Payment assistance (check with facility for details); Sliding fee scale (fee is based on income and other factors),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.053656+00:00,20260326_142037,a3b4654e3d84befb005719d45bc4c57a,2026-03-25 18:25:37,2026-03-26 14:22:29,0
46,AMS of Delaware LLC,20576 Coastal Highway,,Rehoboth Beach,DE,19971,US,302-227-1320,,,,https://www.amsdelaware.com,38.7074858,-75.0905113,,Substance use treatment; Detoxification,Outpatient; Outpatient detoxification; Intensive outpatient treatment; Outpatient methadone/buprenorphine or naltrexone treatment; Regular outpatient treatment,"Federal, or any government funding for substance use treatment programs; Medicare; Medicaid; Cash or self-payment",Young adults; Adult women; Pregnant/postpartum women; Adult men; Clients with co-occurring mental and substance use disorders; Clients with co-occurring pain and substance use disorders,,Private for-profit organization,Young Adults; Adults,,,samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.053656+00:00,20260326_142037,f1bf4189acd99d40e6a5fbf3bcbf5b96,2026-03-25 18:25:37,2026-03-26 14:22:29,0
47,Coras Wellness and Behavioral Health - Millsboro,315 Old Landing Road,Suite A,Millsboro,DE,19966,US,833-886-2277 1,,,,https://www.coraswellness.org,38.5847236,-75.2920051,,Substance use treatment; Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Outpatient,"Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Private health insurance; State corrections or juvenile justice funds; Cash or self-payment; State-financed health insurance plan other than Medicaid; State mental health agency (or equivalent) funds; State welfare or child and family services funds; U.S. Department of VA funds",Seniors or older adults; Veterans; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients with HIV or AIDS; Clients who have experienced trauma; Persons with post-traumatic stress disorder (PTSD),Spanish,Private non-profit organization,Young Adults; Seniors,Psychiatric emergency walk-in services,Payment assistance (check with facility for details); Sliding fee scale (fee is based on income and other factors),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.053656+00:00,20260326_142037,1db1838d294cee051ea3a9a66150b43b,2026-03-25 18:25:37,2026-03-26 14:22:29,0
48,Community Collaboration of Delaware - Concordia House,621 Delaware Street,Kim Jones,New Castle,DE,19720,US,302-364-3400,,,,https://www.communitycollabde.org,,,,"Substance use treatment; Transitional housing, halfway house, or sober home",Outpatient; Outpatient day treatment or partial hospitalization; Intensive outpatient treatment; Outpatient methadone/buprenorphine or naltrexone treatment; Regular outpatient treatment,"Federal, or any government funding for substance use treatment programs; Cash or self-payment","Young adults; Adult women; Seniors or older adults; Veterans; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients with co-occurring pain and substance use disorders; Clients with HIV or AIDS; Clients who have experienced sexual abuse; Clients who have experienced intimate partner violence, domestic violence; Clients who have experienced trauma",,Private non-profit organization,Young Adults; Adults,,,samhsa_treatment_facilities,https://findtreatment.gov,2026-03-25T18:42:21.742711+00:00,20260325_184006,94e55ea2d797b77ff64360f7bea8b615,2026-03-25 18:25:37,2026-03-25 18:42:22,0
49,Aquila of Delaware Inc - Leona Mae House,,,Bear,DE,19701,US,302-999-1106 705,302-233-8510,,,https://,,,,Substance use treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Residential/24-hour residential; Long-term residential,"Federal, or any government funding for substance use treatment programs; Medicaid; Private health insurance; State-financed health insurance plan other than Medicaid; SAMHSA funding/block grants",Adult women; Adult men,,Private for-profit organization,Young Adults; Adults,,,samhsa_treatment_facilities,https://findtreatment.gov,2026-03-25T18:42:21.742711+00:00,20260325_184006,405a73d3d09097c1898a14d44455ad50,2026-03-25 18:25:37,2026-03-25 18:42:22,0
50,Peninsula Community Health Services - Kenai,805 Frontage Road,,Kenai,AK,99611,US,907-260-7300,,,,https://www.pchsak.org,60.5540193,-151.2577019,,Substance use treatment; Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Outpatient,"County or local government funds; Community Mental Health Block Grants; Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Other State funds; Private health insurance; State corrections or juvenile justice funds; Cash or self-payment; State mental health agency (or equivalent) funds; U.S. Department of VA funds",Seniors or older adults; Veterans; Active duty military; Members of military families; Clients with HIV or AIDS; Clients who have experienced trauma; Persons with traumatic brain injury (TBI),,Private non-profit organization,Children/Adolescents; Young Adults; Adults; Seniors,,Payment assistance (check with facility for details); Sliding fee scale (fee is based on income and other factors),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.046657+00:00,20260326_142037,e716b9d3719c42fc1e83cdd5d8da67a5,2026-03-25 18:25:37,2026-03-26 14:22:29,0
51,Peninsula Community Health Services of - Kenai,805 Frontage Road,,Kenai,AK,99611,US,907-260-7300,,,,https://www.pchsak.org,60.5540193,-151.2577019,,Substance use treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Outpatient; Outpatient methadone/buprenorphine or naltrexone treatment; Regular outpatient treatment,"Federal, or any government funding for substance use treatment programs; Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Private health insurance; Cash or self-payment",,Sign language services for the deaf and hard of hearing,Private non-profit organization,,,Payment assistance (check with facility for details); Sliding fee scale (fee is based on income and other factors),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.046657+00:00,20260326_142037,a7ed3143a237146cc11a7c5bfda920cb,2026-03-25 18:25:37,2026-03-26 14:22:29,0
52,Cook Inlet Counseling - Outpatient,10200 Kenai Spur Highway,,Kenai,AK,99611,US,907-283-3658,,,,https://www.cookinletcounseling.org,60.561839,-151.2290211,,Substance use treatment; Mental health treatment,Outpatient,Medicaid; Private health insurance; Cash or self-payment,Young adults; Clients with co-occurring mental and substance use disorders; Clients who have experienced trauma; Persons with post-traumatic stress disorder (PTSD),,Private non-profit organization,Children/Adolescents; Young Adults; Adults; Seniors,,Sliding fee scale (fee is based on income and other factors),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.046657+00:00,20260326_142037,125aeaddf2d5359899f79c5320d06d09,2026-03-25 18:25:37,2026-03-26 14:22:29,0
53,Peninsula Community Health Services of - Soldotna,230 East Marydale Avenue,,Soldotna,AK,99669,US,907-260-7300,,,,https://www.pchsak.org,60.4950021,-151.0668996,,Substance use treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Outpatient; Outpatient methadone/buprenorphine or naltrexone treatment; Regular outpatient treatment,"Federal, or any government funding for substance use treatment programs; Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Private health insurance; Cash or self-payment",,Sign language services for the deaf and hard of hearing; Spanish,Private non-profit organization,,,Payment assistance (check with facility for details); Sliding fee scale (fee is based on income and other factors),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.046657+00:00,20260326_142037,756b02de1563c075308e44af07fc8bf0,2026-03-25 18:25:37,2026-03-26 14:22:29,0
54,Akeela Inc - Akeela House,2804 Bering Street,,Anchorage,AK,99503,US,907-565-1200,,,,https://www.akeela.org,61.194845,-149.8964212,,Substance use treatment; Mental health treatment,Residential/24-hour residential,Medicaid; Other State funds; State corrections or juvenile justice funds; Cash or self-payment; State welfare or child and family services funds,Clients with co-occurring mental and substance use disorders,,Private non-profit organization,Young Adults; Seniors,,Sliding fee scale (fee is based on income and other factors),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.046657+00:00,20260326_142037,a2090aaf945f5a088f605b9d7f756836,2026-03-25 18:25:37,2026-03-26 14:22:29,0
55,Akeela Inc - Women and Families Programs,360 West Benson Boulevard,Suite 200,Anchorage,AK,99503,US,907-565-1200,907-433-7080,,,https://www.akeela.org,61.1938401,-149.8898096,,Substance use treatment; Mental health treatment,Outpatient,Medicaid; Other State funds; State corrections or juvenile justice funds; Cash or self-payment; State welfare or child and family services funds,Clients with co-occurring mental and substance use disorders; Clients who have experienced trauma,,Private non-profit organization,Young Adults; Seniors,Crisis intervention team,Sliding fee scale (fee is based on income and other factors),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.046657+00:00,20260326_142037,0d019a699692db125c511ca2bfb91869,2026-03-25 18:25:37,2026-03-26 14:22:29,0
56,Anchorage Comprehensive Treatment Ctr - WCHS Inc,3230 C Street,Suite 100,Anchorage,AK,99503,US,907-885-6537,,,,https://www.ctcprograms.com/location/anchorage-comprehensive-treatment-center/,61.191164,-149.8869872,,Substance use treatment; Detoxification,Outpatient; Outpatient methadone/buprenorphine or naltrexone treatment,"Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Private health insurance; Cash or self-payment",Pregnant/postpartum women,Sign language services for the deaf and hard of hearing,Private for-profit organization,Young Adults; Adults,,,samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.046657+00:00,20260326_142037,1d2f24a3a93a5a6a84dea63bc47c89b2,2026-03-25 18:25:37,2026-03-26 14:22:29,0
57,Hope Community Resources,540 West International Airport Road,Suite 100,Anchorage,AK,99518,US,907-561-5335 4901,907-433-1732,,,https://www.hopealaska.org,61.17322,-149.893212,,Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Outpatient,County or local government funds; Community Mental Health Block Grants; Medicaid; Other State funds; Private health insurance; Private or Community foundation; Cash or self-payment; State mental health agency (or equivalent) funds; State welfare or child and family services funds,,,Private non-profit organization,Children/Adolescents; Young Adults; Adults; Seniors,,Sliding fee scale (fee is based on income and other factors),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.046657+00:00,20260326_142037,f2b6115fcae30d2de9d5a9bf71413ce5,2026-03-25 18:25:37,2026-03-26 14:22:29,0
58,Alaska VA Healthcare System,3001 C Street,,Anchorage,AK,99503,US,907-273-4011,907-273-4019,,,https://www.alaska.va.gov/,61.1935596,-149.8854565,,"Substance use treatment; Transitional housing, halfway house, or sober home",Residential/24-hour residential; Long-term residential; Short-term residential,"Federal military insurance (e.g., TRICARE); Private health insurance; State-financed health insurance plan other than Medicaid","Young adults; Adult women; Adult men; Seniors or older adults; Veterans; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients with co-occurring pain and substance use disorders; Clients with HIV or AIDS; Clients who have experienced sexual abuse; Clients who have experienced intimate partner violence, domestic violence; Clients who have experienced trauma",,U.S. Department of Veterans Affairs; Federal Government,Young Adults; Adults,,,samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.046657+00:00,20260326_142037,fa8a0a8e9d8820376b3a078da049e3d3,2026-03-25 18:25:37,2026-03-26 14:22:29,0
59,Wisdom Traditions Counseling Services - DBA Alaska Wisdom Recovery,401 West International Airport Road,Suite 27,Anchorage,AK,99518,US,907-562-4540,,,,https://www.wisdomtraditions.us/,61.1746276,-149.8911878,,Substance use treatment; Mental health treatment,Outpatient; Partial hospitalization/day treatment,"Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Private health insurance; Cash or self-payment; State mental health agency (or equivalent) funds",Veterans; Active duty military; Members of military families; Clients with co-occurring mental and substance use disorders; Clients who have experienced trauma; Persons with post-traumatic stress disorder (PTSD),,Private for-profit organization,Young Adults; Seniors,Crisis intervention team,,samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.046657+00:00,20260326_142037,a1035b45757b46da4f5d0d066d32af84,2026-03-25 18:25:37,2026-03-26 14:22:29,0
60,Renew Your Mind,123 East Fireweed Lane,Suite 212,Anchorage,AK,99503,US,907-222-5464,,,,https://,61.1985473,-149.8822717,,Substance use treatment,Outpatient; Regular outpatient treatment,Cash or self-payment,,Spanish,Private non-profit organization,Young Adults; Adults,,Payment assistance (check with facility for details); Sliding fee scale (fee is based on income and other factors),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.046657+00:00,20260326_142037,1bc49473242f2e8c56c4c121f5115340,2026-03-25 18:25:37,2026-03-26 14:22:29,0
61,Daybreak Inc,130 West International Airport Road,Suite C,Anchorage,AK,99518,US,907-677-5988,,,,https://www.daybreakmhsc.com,61.1728865,-149.8855697,,Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Outpatient,Community Mental Health Block Grants; Medicaid; Cash or self-payment; State-financed health insurance plan other than Medicaid; State mental health agency (or equivalent) funds,Seniors or older adults; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients who have experienced trauma; Persons with traumatic brain injury (TBI); Persons with post-traumatic stress disorder (PTSD); Persons 18 and older with serious mental illness (SMI),,Private non-profit organization,Young Adults; Seniors,,Sliding fee scale (fee is based on income and other factors),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.046657+00:00,20260326_142037,141488b1f656379e0cf4736f0b263031,2026-03-25 18:25:37,2026-03-26 14:22:29,0
