id,company_name,address,city,state,zip_code,country,phone,email,website,qualitypro_certified,greenpro_certified,certifications,npma_member,state_queried,member_url,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
82,Plantation Pest Management,,,AR,,US,,,,False,False,NPMA Member,True,AR,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,cf9505e44f09215295329db820521f80,2026-03-26 04:36:19,2026-03-26 04:36:19,1
83,McCauley Services,2205 Malvern Avenue,Hot Springs,AR,71901,US,15016232223,,http://www.callmccauley.com,True,False,QualityPro Certified,True,AR,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,8f9eef1ec78f0a603d2ca66e82e8e6f6,2026-03-26 04:36:19,2026-03-26 04:36:19,1
84,High-Tech Pest Control Services,,,AR,,US,,,,False,False,NPMA Member,True,AR,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,300e7aeb50ca29ca63360bda9dadcb0f,2026-03-26 04:36:19,2026-03-26 04:36:19,1
85,Rentokil Terminix,2708 N West Avenue,El Dorado,AR,71730,US,,,,True,False,QualityPro Certified,True,AR,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,2e753d8aa72983a0d1bb28a1b365430a,2026-03-26 04:36:19,2026-03-26 04:36:19,1
86,Presto-X,"3663 Cherry Road, Suite 109",Memphis,TN,38118,US,19017978785,,http://www.prestox.com/your-local-office/tennessee/memphis/index.html,True,False,QualityPro Certified,True,AR,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,bdef0320b18337f56cbcfbcf33884b11,2026-03-26 04:36:19,2026-03-26 04:36:19,1
87,Rentokil Terminix,98 Dry Kiln Road,Batesville,AR,72503,US,18706981442,,http://www.terminix.com,True,False,QualityPro Certified,True,AR,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,9b35abab836e252b2bf00021e4577e2e,2026-03-26 04:36:19,2026-03-26 04:36:19,1
88,"Complete Pest Control, Inc.",,,AR,,US,,,,False,False,NPMA Member,True,AR,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,2fa6b8a2468e4d118e61ea9cc6ab6d2b,2026-03-26 04:36:19,2026-03-26 04:36:19,1
89,"RAP Enterprises, LLC dba Rid-A-Pest",,,AR,,US,,,,False,False,NPMA Member,True,AR,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,9ff034781d87e0f0f7bb883aa2296276,2026-03-26 04:36:19,2026-03-26 04:36:19,1
90,Rentokil Terminix,4506 S 16th St,Fort Smith,AR,72901,US,,,,True,False,QualityPro Certified,True,AR,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,2d3d0d6c97c5b0d846cd8e3173418e3d,2026-03-26 04:36:19,2026-03-26 04:36:19,1
91,"Five Star Pest Control Co., Inc.",,,AR,,US,,,,False,False,NPMA Member,True,AR,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,2bc1b6f74bbbf2d6441d04ed3f4d0039,2026-03-26 04:36:19,2026-03-26 04:36:19,1
92,Orkin,2585 Commerce Way,City of Commerce,CA,90040,US,13238381275,,http://www.orkin.com,True,False,QualityPro Certified,True,CA,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,ac59bee1c075f1c487bb97838f182691,2026-03-26 04:36:19,2026-03-26 04:36:19,1
93,"Admiral Pest Control, Inc.",9433 Ramona Street,Bellflower,CA,90706,US,15629258308,,http://www.admiralpest.com,True,False,QualityPro Certified,True,CA,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,dc4daf3a6a75d16ab14e9ee2982e9e5d,2026-03-26 04:36:19,2026-03-26 04:36:19,1
94,Purcor Pest Solutions,"12155 Magnolia Ave, #10B",Riverside,CA,92503,US,,,,False,False,NPMA Member,True,CA,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,64d1528942d82c9207b55ebd8f7a3e3b,2026-03-26 04:36:19,2026-03-26 04:36:19,1
95,Western Exterminator Company,3333 W. Temple Street,Los Angeles,CA,90026-4523,US,12133828151,,http://www.westernexterminator.com/locations/details/los-angeles,True,False,QualityPro Certified,True,CA,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,84bec16ad41e7575714ece158ce33ecc,2026-03-26 04:36:19,2026-03-26 04:36:19,1
96,Sprague Pest Solutions,2570 Corporate Pl,Monterey Park,CA,91754,US,,,http://www.spraguepest.com,True,False,QualityPro Certified,True,CA,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,cdff4b9e4238f22cde27b8ebc264fe20,2026-03-26 04:36:19,2026-03-26 04:36:19,1
97,"Green Rodent Restoration, Inc.",,,CA,,US,,,,False,False,NPMA Member,True,CA,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,b944ca67a20a19a1bfda44d94877e255,2026-03-26 04:36:19,2026-03-26 04:36:19,1
98,IPM Specialist,,,CA,,US,,,,False,False,NPMA Member,True,CA,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,ab23c2a22b5597ac4bdffb94d5e8b1d4,2026-03-26 04:36:19,2026-03-26 04:36:19,1
99,"American City Pest & Termite, Inc.",,,CA,,US,,,,False,False,NPMA Member,True,CA,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,b80d6ff6cacdbf2def0e39b1e6c7846e,2026-03-26 04:36:19,2026-03-26 04:36:19,1
100,Orkin,1053 Crenshaw Boulevard,Los Angeles,CA,90019,US,13238796934,,,True,False,QualityPro Certified,True,CA,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.262535+00:00,20260326_040945,f6e33eee0429903eea5f9274268be4a0,2026-03-26 04:36:19,2026-03-26 04:36:19,1
