id,company_name,address,city,state,zip,phone,email,website,country,pwsid,pws_type,owner_type,primary_source,population_served,service_connections,cities_served,county,epa_region,gw_sw_code,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
70,CHILTON WATER AUTHORITY,,THORSBY,AL,35171,205-646-3300,jsmith@chiltonwater.org,,US,AL0000234,CWS,L,GW,27681,9227,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.579924+00:00,20260325_143907,f4690a512995f53462e7f767dce66de1,2026-03-25 14:39:55,2026-03-25 14:39:55,1
71,"GILBERTOWN, UTILITIES BOARD OF TOWN OF",,GILBERTOWN,AL,36908,251-843-2477,,,US,AL0000237,CWS,L,GW,8157,1102,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.579924+00:00,20260325_143907,3fc1b9fddb2a0e9ebc63917c498e9e2a,2026-03-25 14:39:55,2026-03-25 14:39:55,1
72,NORTH CHOCTAW WATER & SEWER AUTHORITY,,LISMAN,AL,36912,,,,US,AL0000243,CWS,L,GW,3450,1150,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.579924+00:00,20260325_143907,3177875724817ef4c577ba86dbb94c79,2026-03-25 14:39:55,2026-03-25 14:39:55,1
73,"PENNINGTON, UTILITIES BOARD OF",,PENNINGTON,AL,36916,,,,US,AL0000244,CWS,L,GW,1080,360,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.580920+00:00,20260325_143907,0ef44f479d9a5be858d08f6f6f1181b2,2026-03-25 14:39:55,2026-03-25 14:39:55,1
74,HOLLINS WATER AUTHORITY,,HOLLINS,AL,35082,256-249-4014,hollinswater@yahoo.com,,US,AL0000245,CWS,L,SWP,1269,423,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.580920+00:00,20260325_143907,f23c250b320973098fd76048ee302c96,2026-03-25 14:39:55,2026-03-25 14:39:55,1
75,"COFFEEVILLE WATER WORKS, TOWN OF",P.O. BOX 88,COFFEEVILLE,AL,36524,251-276-3623,billtaylor1321@gmail.com,,US,AL0000252,CWS,L,GW,2730,910,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.580920+00:00,20260325_143907,4d5f4ab337e4673de3389f8387029988,2026-03-25 14:39:55,2026-03-25 14:39:55,1
76,"FULTON, UTILITIES BOARD OF THE TOWN OF",,FULTON,AL,36446,334-636-9527,,,US,AL0000254,CWS,L,GW,534,178,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.580920+00:00,20260325_143907,ea053c7ef3ea48e9ff4ca20f380489f6,2026-03-25 14:39:55,2026-03-25 14:39:55,1
77,GROVE HILL WATER WORKS,P.O. BOX 847,GROVE HILL,AL,36451,251-275-3153,pritchett@pinebelt.net,,US,AL0000255,CWS,L,GW,5280,1760,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.580920+00:00,20260325_143907,468c7004666279ea2fe15258ae9962fc,2026-03-25 14:39:55,2026-03-25 14:39:55,1
78,JACKSON WATER WORKS & SEWER BOARD,,JACKSON,AL,36545,251-246-2900,,,US,AL0000256,CWS,L,SW,11715,3905,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.580920+00:00,20260325_143907,3600d30c7cc81b51b7d8ec905bc74362,2026-03-25 14:39:55,2026-03-25 14:39:55,1
79,OLD LINE WATER SYSTEM,,JACKSON,AL,36545,251-246-9205,,,US,AL0000257,CWS,P,GW,5145,1715,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.580920+00:00,20260325_143907,db50d8876e2ba66f48179f04a896c6ca,2026-03-25 14:39:55,2026-03-25 14:39:55,1
80,THOMASVILLE WATER WORKS & SEWER BOARD,P.O. Box 127,THOMASVILLE,AL,36784,334-636-3357,llong@thomasvilleal.com,,US,AL0000262,CWS,L,SW,6897,2299,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.580920+00:00,20260325_143907,3a87fee4237b1d0fa87406d4452b04d7,2026-03-25 14:39:55,2026-03-25 14:39:55,1
81,ASHLAND WATER & SEWER BOARD,160 Rosewood Lane,ASHLAND,AL,36251,256-354-4036,awwsb@centurytel.net,,US,AL0000264,CWS,L,SWP,2925,975,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.580920+00:00,20260325_143907,b67e80256e504699b9a310a290a7a0e9,2026-03-25 14:39:55,2026-03-25 14:39:55,1
82,CLAY COUNTY WATER AUTHORITY,,LINEVILLE,AL,36266,,glwwcw@gmail.com,,US,AL0000266,CWS,L,SW,2751,917,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.580920+00:00,20260325_143907,623c9af2aa52d942804d323a12853abd,2026-03-25 14:39:55,2026-03-25 14:39:55,1
83,LINEVILLE WATER WORKS BOARD,,LINEVILLE,AL,36266,256-396-2063,cityhall@acs-isp.com,,US,AL0000268,CWS,L,SWP,3420,1140,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.580920+00:00,20260325_143907,c81d5786953afe3c5222c695cb9f7847,2026-03-25 14:39:55,2026-03-25 14:39:55,1
84,MILLERVILLE WATER & FIRE PRO AUTHORITY,334 School House Road,MILLERVILLE,AL,36251,256-354-2359,millervilleauthority@yahoo.com,,US,AL0000270,CWS,L,SWP,1545,515,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.580920+00:00,20260325_143907,dea78519506c2eaae82fde0ee0850a16,2026-03-25 14:39:55,2026-03-25 14:39:55,1
85,EDWARDSVILLE WATER & FIRE PRO AUTHORITY,P O Box 8,EDWARDSVILLE,AL,36261,,,,US,AL0000277,CWS,L,SWP,585,195,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.580920+00:00,20260325_143907,371fd7ded426c057e98c057594abaced,2026-03-25 14:39:55,2026-03-25 14:39:55,1
86,HEFLIN WATER WORKS,1219 Almon Street Suite F,HEFLIN,AL,36264,256-463-2011,heflinwaterhyatt@wmconnect.com,,US,AL0000279,CWS,L,SW,4287,1429,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.580920+00:00,20260325_143907,98e252e88e4b87d67dffd90c975b9784,2026-03-25 14:39:55,2026-03-25 14:39:55,1
87,RANBURNE WATER & SEWER DEPARTMENT,,RANBURNE,AL,36273,256-568-2337,ranburnewater@yahoo.com,,US,AL0000283,CWS,L,SWP,2010,670,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.580920+00:00,20260325_143907,87c31081900c1fb1700e28f4b4a8c88e,2026-03-25 14:39:55,2026-03-25 14:39:55,1
88,ELBA (WW&EB OF THE CITY OF),Elba Water Works,ELBA,AL,36323,334-897-2333,,,US,AL0000295,CWS,L,GW,5361,1851,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.580920+00:00,20260325_143907,21c29a962b98c60ff2572acaeb3f243c,2026-03-25 14:39:55,2026-03-25 14:39:55,1
89,ENTERPRISE WATER WORKS,,ENTERPRISE,AL,36330,,,,US,AL0000296,CWS,L,GW,48000,16000,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.580920+00:00,20260325_143907,ab496ab2a39dc1cc8d2f93e5b5286c60,2026-03-25 14:39:55,2026-03-25 14:39:55,1
90,"JACK WATER SYSTEM, INC",,JACK,AL,36346,334-897-6738,,,US,AL0000298,CWS,L,GW,1335,445,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.580920+00:00,20260325_143907,f597033f7ffc9bb958ab33e08c6f7c89,2026-03-25 14:39:55,2026-03-25 14:39:55,1
91,KINSTON WATER WORKS,,KINSTON,AL,36453,334-565-3188,,,US,AL0000299,CWS,L,GW,2235,800,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.580920+00:00,20260325_143907,df3e3f092ad17804b2a6be050150bc96,2026-03-25 14:39:55,2026-03-25 14:39:55,1
92,NEW BROCKTON WATER DEPARTMENT,,NEW BROCKTON,AL,36351,334-894-5550,,,US,AL0000302,CWS,L,GW,4185,1395,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.580920+00:00,20260325_143907,aafea5be617333cbdafa881128a042c3,2026-03-25 14:39:55,2026-03-25 14:39:55,1
93,CHEROKEE WATER & GAS DEPARTMENT,P.O. Box 273,CHEROKEE,AL,35616,938-214-9247,,,US,AL0000311,CWS,L,SW,1992,664,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.580920+00:00,20260325_143907,d939d78fe694be71865f428b968471ad,2026-03-25 14:39:55,2026-03-25 14:39:55,1
94,COLBERT COUNTY RURAL WATER SYSTEM,2750 HWY 20,TUSCUMBIA,AL,35674,256-381-2120,jrobison@colbertco.org,,US,AL0000314,CWS,L,SW,13395,4465,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.580920+00:00,20260325_143907,a7c8b83c9dc78b34936490c06b83b138,2026-03-25 14:39:55,2026-03-25 14:39:55,1
95,HAWK PRIDE MT WATER SYSTEM,"RANDY GARGIS, CHAIRPERSON",TUSCUMBIA,AL,35674,,,,US,AL0000316,CWS,L,GU,4035,1345,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.580920+00:00,20260325_143907,f3fc0f14727e580dcc1c77bead65518d,2026-03-25 14:39:55,2026-03-25 14:39:55,1
96,LAGRANGE MOUNTAIN WATER AUTHORITY,,LEIGHTON,AL,35646,256-383-1666,,,US,AL0000318,CWS,L,GWP,1242,414,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.581923+00:00,20260325_143907,003b0d10ffe2a0c37e945c513245573c,2026-03-25 14:39:55,2026-03-25 14:39:55,1
97,"LEIGHTON, WSB OF THE TOWN OF",MR. SHANE BURNEY,LEIGHTON,AL,35646,256-446-9330,mrburney@att.net,,US,AL0000319,CWS,L,GW,1203,401,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.581923+00:00,20260325_143907,4ee9522340abe81d2e337da4e3ec2345,2026-03-25 14:39:55,2026-03-25 14:39:55,1
98,LITTLEVILLE WATERWORKS,,RUSSELLVILLE,AL,35654,256-332-3567,littlvwater@gmail.com,,US,AL0000320,CWS,L,SWP,3570,1190,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.581923+00:00,20260325_143907,5b8e90c8d7e22944df1cc2fd3c9d81ef,2026-03-25 14:39:55,2026-03-25 14:39:55,1
99,MUSCLE SHOALS UTILITY BOARD,,MUSCLE SHOALS,AL,35662,256-386-9260,jvancemsub@comcast.net,,US,AL0000321,CWS,L,SW,22467,7489,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.581923+00:00,20260325_143907,42e57f5a5d0804c2b6557f4336b244fb,2026-03-25 14:39:55,2026-03-25 14:39:55,1
100,"SHEFFIELD UTITLIES, CITY OF SHEFFIELD DB",P.O. Box 580,SHEFFIELD,AL,35660,256-389-2480,tjones@sheffieldutilities.org,,US,AL0000327,CWS,L,SW,13758,4586,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.581923+00:00,20260325_143907,bcfb9cb9d48aaa67995ccbf83dac3799,2026-03-25 14:39:55,2026-03-25 14:39:55,1
