id,company_name,address,city,state,zip_code,country,phone,email,website,member_url,staffing_specialization,placement_type,industries_served,member_since,asa_member_type,is_hq,ownership_type,certified_professionals,geographic_scope,num_offices_in_state,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
46,Allegiance Staffing LLC,207 S Central Ave PO Box 357,Alexander City,Alabama,35010-2536,United States,+12563293477,,https://www.allegiancestaffing.com,https://americanstaffing.net/members-directory/allegiance-staffing-llc-0015w00002urfdxaal/,"Industrial (85%), Office Clerical (10%), Other (5%)","Temp Help (65%), Temp-to-Hire (15%), Long-Term Contract (5%), HR Consulting (5%), Managed Services (10%)",,2005-08-26,Staffing Firm,No,Offer franchises,7,National,3,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,d86df5c6144aa3afc64f3bdff6e53330,2026-03-26 10:39:49,2026-03-26 10:39:49,1
47,Insight Global LLC,1901 6th Ave North Ste 1610,Birmingham,Alabama,35203,United States,+18554858853,,https://insightglobal.com/locations/alabama/staffing-agency-birmingham-al/,https://americanstaffing.net/members-directory/insight-global-llc-0018w00002k9d3tqaf/,"Engineering (5%), Finance (10%), Health Care (10%), IT (40%), Industrial (5%), Legal (5%), Management (5%), Office Clerical (5%), Sales/Marketing (5%), Scientific (5%), Other (5%)","Direct Hire (5%), Temp Help (10%), Temp-to-Hire (30%), Long-Term Contract (40%), RPO (5%), MSP (5%), Managed Services (5%)",,2020-03-18,Staffing Firm,No,,0,National,2,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,639ec018d4d095f4c37b2b7bfa00970f,2026-03-26 10:39:49,2026-03-26 10:39:49,1
48,TrueBlue Inc.,,Birmingham,Alabama,35203,United States,+18007469462,,https://www.trueblue.com,https://americanstaffing.net/members-directory/trueblue-inc-0015w00002urez3aad/,Industrial (100%),Temp Help (100%),,2002-11-07,Staffing Firm,No,,1,National,15,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,f4666718c53f140f8133da4d4bfa02f2,2026-03-26 10:39:49,2026-03-26 10:39:49,1
49,BelFlex Staffing Network,6561 Highway 69 Suite B,Tuscaloosa,Alabama,35405-6488,United States,+12055616672,,https://www.belflex.com,https://americanstaffing.net/members-directory/belflex-staffing-network-0015w00002ureqlaal/,"IT (5%), Industrial (80%), Office Clerical (10%), Other (5%)","Direct Hire (5%), Temp Help (70%), Temp-to-Hire (5%), Long-Term Contract (5%), HR Consulting (5%), Payrolling (5%), Managed Services (5%)",,2004-05-25,Staffing Firm,No,,146,National,1,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,ea0e4ea140b945dd471129195cdb998f,2026-03-26 10:39:49,2026-03-26 10:39:49,1
50,TrueBlue Inc.,1305 McFarland Blvd E Ste A,Tuscaloosa,Alabama,35404-3839,United States,+12057504949,,https://www.laborready.com,https://americanstaffing.net/members-directory/trueblue-inc-0015w00002uremeaat/,Industrial (100%),Temp Help (100%),,2002-11-07,Staffing Firm,No,,1,National,15,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,15c29f3769e05b9db00d262dd5fcf043,2026-03-26 10:39:49,2026-03-26 10:39:49,1
51,Staffmark Group,1900 Crestwood Blvd Ste 105,Birmingham,Alabama,35210-2056,United States,+12059560957,,https://www.staffmark.com,https://americanstaffing.net/members-directory/staffmark-group-0015w00002urfobaa1/,"Industrial (65%), Office Clerical (25%), Other (5%)","Temp Help (90%), Temp-to-Hire (5%), Payrolling (5%)",,2011-01-01,Staffing Firm,No,,34,National,4,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,e5536d4e8a37e59509c4a03ddd44e61f,2026-03-26 10:39:49,2026-03-26 10:39:49,1
52,TrueBlue Inc.,700 14th St,Tuscaloosa,Alabama,35401-3435,United States,+12057504949,,https://www.laborready.com,https://americanstaffing.net/members-directory/trueblue-inc-0015w00002urfmoaad/,Industrial (100%),Temp Help (100%),,2002-11-07,Staffing Firm,No,,1,National,15,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,05e35c7f0403a45f0409b30c02614bf4,2026-03-26 10:39:49,2026-03-26 10:39:49,1
53,Labor Finders,1357 Investigator Dornell Cousette St - Suite A,Tuscaloosa,Alabama,35401,United States,+12057500059,,https://www.laborfinders.com,https://americanstaffing.net/members-directory/labor-finders-0015w00002urelfaat/,"Industrial (95%), Office Clerical (5%)","Temp Help (95%), Payrolling (5%)",,1998-01-01,Staffing Firm,No,Offer franchises,11,National,9,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,72dcfd72f7185198ddf06b971da63954,2026-03-26 10:39:49,2026-03-26 10:39:49,1
54,Automation Personnel Services Inc. - Tuscaloosa,12 McFarland Blvd,Northport,Alabama,35476-3348,United States,+12053446119,,https://www.apstemps.com,https://americanstaffing.net/members-directory/automation-personnel-services-inc-tuscaloosa-0015w00002urgd4aad/,"Engineering (5%), Industrial (85%), Office Clerical (10%)","Temp Help (90%), Temp-to-Hire (5%)",,1993-08-10,Staffing Firm,No,,,Local,1,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,16203ac6e25e5fdc5bf0284cfd6f6d3c,2026-03-26 10:39:49,2026-03-26 10:39:49,1
55,PRIDESTAFF,80 McFarland Blvd Ste 3,Northport,Alabama,35476-3332,United States,+12054403729,,https://www.pridestaff.com,https://americanstaffing.net/members-directory/pridestaff-0015w00002urepvaa1/,"Finance (10%), Health Care (5%), IT (15%), Management (10%), Sales/Marketing (5%)","Direct Hire (5%), Temp Help (80%), Temp-to-Hire (5%), Long-Term Contract (10%)",,1977-11-08,Staffing Firm,No,Offer franchises,37,National,1,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,ca0c64d94df554c3411c0fa2d1cd2086,2026-03-26 10:39:49,2026-03-26 10:39:49,1
56,Elwood Staffing Services,1998 Park St,Northport,Alabama,35476-4420,United States,+12053919784,,https://www.elwoodstaffing.com,https://americanstaffing.net/members-directory/elwood-staffing-services-0015w00002urdcqaat/,"Engineering (5%), Industrial (80%), Office Clerical (10%)","Direct Hire (5%), Temp Help (5%), Temp-to-Hire (75%), Long-Term Contract (5%), HR Consulting (5%), Payrolling (5%)",,1996-07-15,Staffing Firm,No,,146,National,20,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,27312b551edfa2600962ccd3c055b16b,2026-03-26 10:39:49,2026-03-26 10:39:49,1
57,Express Employment Professionals,2818 Lurleen B Wallace Blvd,Northport,Alabama,35476-3249,United States,+12057580080,,https://www.expresspros.com,https://americanstaffing.net/members-directory/express-employment-professionals-0015w00002urh5maad/,"Engineering (5%), Industrial (65%), Office Clerical (25%), Other (5%)","Direct Hire (15%), Temp Help (35%), Temp-to-Hire (35%), Long-Term Contract (10%), HR Consulting (10%)",,1979-08-13,Staffing Firm,No,Offer franchises,34,National,11,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,3af764fee49cbaddf4c7b7bbdfb4de2f,2026-03-26 10:39:49,2026-03-26 10:39:49,1
58,Express Employment Professionals,1108 East Park Drive,Birmingham,Alabama,35235-2560,United States,+12055472849,,https://www.expresspros.com,https://americanstaffing.net/members-directory/express-employment-professionals-0015w00002ure55aad/,"Engineering (5%), Industrial (65%), Office Clerical (25%), Other (5%)","Direct Hire (15%), Temp Help (35%), Temp-to-Hire (35%), Long-Term Contract (10%), HR Consulting (10%)",,1979-08-13,Staffing Firm,No,Offer franchises,34,National,11,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,89cd9e8b027400586683051fcf2b90cd,2026-03-26 10:39:49,2026-03-26 10:39:49,1
59,TrueBlue Inc.,,Talladega,Alabama,35160,United States,+18007469462,,https://www.trueblue.com,https://americanstaffing.net/members-directory/trueblue-inc-0015w00002urglbaal/,Industrial (100%),Temp Help (100%),,2002-11-07,Staffing Firm,No,,1,National,15,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,e853cd9c91f3a9c1a0ae5b8e4f2d1858,2026-03-26 10:39:49,2026-03-26 10:39:49,1
60,Marathon Staffing Group,1551 Sterilite Dr,Birmingham,Alabama,35215-4189,United States,+12058540026,,https://www.marathonstaffing.com,https://americanstaffing.net/members-directory/marathon-staffing-group-0015w00002ure5jaat/,"Engineering (5%), Finance (5%), IT (5%), Industrial (50%), Management (5%), Office Clerical (20%), Scientific (5%), Other (5%)","Direct Hire (5%), Temp Help (40%), Temp-to-Hire (10%), Long-Term Contract (5%), Managed Services (40%)",,2015-01-30,Staffing Firm,No,,5,National,1,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,b1f310ab5c0bbeb438913d2baa4b99cf,2026-03-26 10:39:49,2026-03-26 10:39:49,1
61,Adecco Group North America,1705 Cogswell Ave,Pell City,Alabama,35125-1646,United States,+12058844357,,https://www.mpsgroup.com,https://americanstaffing.net/members-directory/adecco-group-north-america-0015w00002urgpfaad/,"Engineering (10%), IT (10%), Industrial (30%), Office Clerical (35%)","Temp Help (90%), Payrolling (5%)",,1979-05-24,Staffing Firm,No,,2,National,6,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,24e68e1bc0a4c77e46a42e1258dd5f32,2026-03-26 10:39:49,2026-03-26 10:39:49,1
62,ManpowerGroup,403 E Commerce St,Greenville,Alabama,36037-2311,United States,,,https://www.manpower.com,https://americanstaffing.net/members-directory/manpowergroup-0015w00002urh33aad/,"Engineering (20%), IT (20%), Industrial (20%), Office Clerical (20%)","Direct Hire (10%), Temp Help (10%), Temp-to-Hire (15%), Long-Term Contract (10%), HR Consulting (10%), Payrolling (10%), Managed Services (10%), Outplacement (10%)",,1975-01-20,Staffing Firm,No,Offer franchises,3,National,9,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,c69ded55db393af01b82ecadc75711a9,2026-03-26 10:39:49,2026-03-26 10:39:49,1
63,Elwood Staffing Services,48065 US Hwy 78 Ste A,Lincoln,Alabama,35096-6769,United States,+12563621953,,https://www.tristaffing.com,https://americanstaffing.net/members-directory/elwood-staffing-services-0015w00002urhzhaa1/,"Engineering (5%), Industrial (80%), Office Clerical (10%)","Direct Hire (5%), Temp Help (5%), Temp-to-Hire (75%), Long-Term Contract (5%), HR Consulting (5%), Payrolling (5%)",,1996-07-15,Staffing Firm,No,,146,National,20,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,79c3d1d71b1414711b73ddd24446f054,2026-03-26 10:39:49,2026-03-26 10:39:49,1
64,Elwood Staffing Services,"48065 US Hwy 78, Ste A",Lincoln,Alabama,35096-6779,United States,+12563621953,,https://www.elwoodstaffing.com,https://americanstaffing.net/members-directory/elwood-staffing-services-0015w00002urhiyaat/,"Engineering (5%), Industrial (80%), Office Clerical (10%)","Direct Hire (5%), Temp Help (5%), Temp-to-Hire (75%), Long-Term Contract (5%), HR Consulting (5%), Payrolling (5%)",,1996-07-15,Staffing Firm,No,,146,National,20,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,06ab6856804d35b98daf5180c880b946,2026-03-26 10:39:49,2026-03-26 10:39:49,1
65,Express Employment Professionals,2436 E University Dr Ste 2203-04,Auburn,Alabama,36830-9451,United States,+13342463910,,https://www.expresspros.com,https://americanstaffing.net/members-directory/express-employment-professionals-0015w00002ureawaal/,"Engineering (5%), Industrial (65%), Office Clerical (25%), Other (5%)","Direct Hire (15%), Temp Help (35%), Temp-to-Hire (35%), Long-Term Contract (10%), HR Consulting (10%)",,1979-08-13,Staffing Firm,No,Offer franchises,34,National,11,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,c2e213c0374fc39332de010def584a99,2026-03-26 10:39:49,2026-03-26 10:39:49,1
66,EmployBridge,2515 E Glenn Ave Ste C303,Auburn,Alabama,36830-6453,United States,,,https://www.employbridge.net,https://americanstaffing.net/members-directory/employbridge-0015w00002urdkpaa1/,"Health Care (5%), Industrial (60%), Office Clerical (30%), Other (5%)",Temp Help (100%),,2001-04-03,Staffing Firm,No,,80,National,4,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,c1fb213b5f1c2db5c4c5f3a0c269670f,2026-03-26 10:39:49,2026-03-26 10:39:49,1
67,ResourceMFG,2515 E Glenn Ave Ste A303,Auburn,Alabama,36830-6420,United States,+13345011655,,https://www.employbridge.net,https://americanstaffing.net/members-directory/resourcemfg-0015w00002uredcaat/,"Health Care (5%), Industrial (60%), Office Clerical (30%), Other (5%)",Temp Help (100%),,2001-04-03,Staffing Firm,No,,80,National,2,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,8744f8226b6fcb3c316d42e53d502c3e,2026-03-26 10:39:49,2026-03-26 10:39:49,1
68,Elwood Staffing Services,521 Davis Loop,Oxford,Alabama,36203-3447,United States,+12568316830,,https://www.elwoodstaffing.com,https://americanstaffing.net/members-directory/elwood-staffing-services-0015w00002urfhwaad/,"Engineering (5%), Industrial (80%), Office Clerical (10%)","Direct Hire (5%), Temp Help (5%), Temp-to-Hire (75%), Long-Term Contract (5%), HR Consulting (5%), Payrolling (5%)",,1996-07-15,Staffing Firm,No,,146,National,20,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,ce5678210fa35491022ed5ee68bb1af0,2026-03-26 10:39:49,2026-03-26 10:39:49,1
69,Elwood Staffing Services,3120 Frederick Rd Ste A,Opelika,Alabama,36801-7133,United States,+13345021215,,https://www.elwoodstaffing.com,https://americanstaffing.net/members-directory/elwood-staffing-services-0015w00002uret0aad/,"Engineering (5%), Industrial (80%), Office Clerical (10%)","Direct Hire (5%), Temp Help (5%), Temp-to-Hire (75%), Long-Term Contract (5%), HR Consulting (5%), Payrolling (5%)",,1996-07-15,Staffing Firm,No,,146,National,20,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,cd6e8d7182ac809bec5dea56e0b7e580,2026-03-26 10:39:49,2026-03-26 10:39:49,1
70,Kelly,1994 US Highway 78 E,Oxford,Alabama,36203-2020,United States,,,https://www.kellyservices.com,https://americanstaffing.net/members-directory/kelly-0015w00002urdeeaat/,"Engineering (15%), Health Care (15%), IT (15%), Industrial (15%), Office Clerical (15%), Other (10%)","Direct Hire (15%), Temp Help (10%), Temp-to-Hire (15%), Long-Term Contract (15%), HR Consulting (10%), Payrolling (15%), Managed Services (15%)",,1974-10-01,Staffing Firm,No,,5,National,2,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,59af97c1258b2638a8845df51257fe82,2026-03-26 10:39:49,2026-03-26 10:39:49,1
71,Labor Finders,2200 Gateway Drive Suite B,Opelika,Alabama,36801,United States,+13347597133,,https://www.laborfinders.com,https://americanstaffing.net/members-directory/labor-finders-001ub00000dgjg2iaj/,"Industrial (95%), Office Clerical (5%)","Temp Help (95%), Payrolling (5%)",,1998-01-01,Staffing Firm,No,Offer franchises,0,National,9,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,d5c9d1b2120d963dfa0a1bf3ae385ffb,2026-03-26 10:39:49,2026-03-26 10:39:49,1
72,Elwood Staffing Services,1995 Pepperell Pkwy Ste 4,Opelika,Alabama,36801-5460,United States,+13347429271,,https://www.elwoodstaffing.com,https://americanstaffing.net/members-directory/elwood-staffing-services-0015w00002ureoiaal/,"Engineering (5%), Industrial (80%), Office Clerical (10%)","Direct Hire (5%), Temp Help (5%), Temp-to-Hire (75%), Long-Term Contract (5%), HR Consulting (5%), Payrolling (5%)",,1996-07-15,Staffing Firm,No,,146,National,20,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,b333f50ca11d1594a148bbee21969ef3,2026-03-26 10:39:49,2026-03-26 10:39:49,1
73,TrueBlue Inc.,1622 Pepperell Pkwy Ste 4,Opelika,Alabama,36801-5524,United States,+13347455288,,https://www.trueblue.com,https://americanstaffing.net/members-directory/trueblue-inc-0015w00002urfcsaad/,Industrial (100%),Temp Help (100%),,2002-11-07,Staffing Firm,No,,1,National,15,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,b4172b229de15ca7f7133aca101f2728,2026-03-26 10:39:49,2026-03-26 10:39:49,1
74,Allegiance Staffing LLC,1220 Fox Run Ave ste A-3,Opelika,Alabama,36801-6168,United States,+13347376152,,https://www.allegiancestaffing.com,https://americanstaffing.net/members-directory/allegiance-staffing-llc-0015w00002uretxaa1/,"Industrial (85%), Office Clerical (10%), Other (5%)","Temp Help (65%), Temp-to-Hire (15%), Long-Term Contract (5%), HR Consulting (5%), Managed Services (10%)",,2005-08-26,Staffing Firm,No,Offer franchises,7,National,3,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,83604c637da42abb0a63b65ef58df9f7,2026-03-26 10:39:49,2026-03-26 10:39:49,1
75,ResourceMFG,1105 Steele Station Road,Steele,Alabama,35987-1748,United States,+12059896902,,https://www.employbridge.net,https://americanstaffing.net/members-directory/resourcemfg-0015w00002urhqjaad/,"Health Care (5%), Industrial (60%), Office Clerical (30%), Other (5%)",Temp Help (100%),,2001-04-03,Staffing Firm,No,,80,National,2,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,463eac92c8d025fd31967c31536c5ae9,2026-03-26 10:39:49,2026-03-26 10:39:49,1
76,Automation Personnel Services Inc.,1902 Marktplatz Ctr SW,Cullman,Alabama,35505,United States,+12566925210,,https://www.apstemps.com/,https://americanstaffing.net/members-directory/automation-personnel-services-inc-001ub000009hkq1iag/,"Engineering (5%), Industrial (85%), Office Clerical (10%)","Temp Help (90%), Temp-to-Hire (5%)",,1993-08-10,Staffing Firm,No,,0,National,7,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,2b4c227cb2a8e9b6d6573b82e824a7a9,2026-03-26 10:39:49,2026-03-26 10:39:49,1
77,ManpowerGroup,201 S 1st St,Gadsden,Alabama,35901-4203,United States,,,https://www.manpowergroup.com,https://americanstaffing.net/members-directory/manpowergroup-0015w00002urf3raat/,"Engineering (20%), IT (20%), Industrial (20%), Office Clerical (20%)","Direct Hire (10%), Temp Help (10%), Temp-to-Hire (15%), Long-Term Contract (10%), HR Consulting (10%), Payrolling (10%), Managed Services (10%), Outplacement (10%)",,1975-01-20,Staffing Firm,No,Offer franchises,3,National,9,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,49a3337fb36fc04b0f5fdf66fd9a9888,2026-03-26 10:39:49,2026-03-26 10:39:49,1
78,Elwood Staffing Services,200 B West Meighan Blvd,Gadsden,Alabama,35901-3200,United States,+12565432916,,https://www.elwoodstaffing.com,https://americanstaffing.net/members-directory/elwood-staffing-services-0015w00002urfyoaa1/,"Engineering (5%), Industrial (80%), Office Clerical (10%)","Direct Hire (5%), Temp Help (5%), Temp-to-Hire (75%), Long-Term Contract (5%), HR Consulting (5%), Payrolling (5%)",,1996-07-15,Staffing Firm,No,,146,National,20,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,45ceef758927715cab484202d6a63d9b,2026-03-26 10:39:49,2026-03-26 10:39:49,1
79,Labor Finders,2170 West Point Rd Suite 5,LaGrange,Georgia,30240,United States,+17066685554,,https://www.laborfinders.com,https://americanstaffing.net/members-directory/labor-finders-0015w00002urdifaat/,"Industrial (95%), Office Clerical (5%)","Temp Help (95%), Payrolling (5%)",,1998-01-01,Staffing Firm,No,Offer franchises,11,National,23,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,e9461271159f5eb53e2649457bf5df09,2026-03-26 10:39:49,2026-03-26 10:39:49,1
80,Express Employment Professionals,209 Ridley Ave Ste A,Lagrange,Georgia,30240-2762,United States,+17068849003,,https://www.expresspros.com,https://americanstaffing.net/members-directory/express-employment-professionals-0015w00002urgtiaat/,"Engineering (5%), Industrial (65%), Office Clerical (25%), Other (5%)","Direct Hire (15%), Temp Help (35%), Temp-to-Hire (35%), Long-Term Contract (10%), HR Consulting (10%)",,1979-08-13,Staffing Firm,No,Offer franchises,34,National,26,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,97b4d4da63d7004de86a7cc94c0cd11a,2026-03-26 10:39:49,2026-03-26 10:39:49,1
81,ManpowerGroup,102 Corporate Plaza Dr,Lagrange,Georgia,30241-2883,United States,,,https://www.manpowergroup.com,https://americanstaffing.net/members-directory/manpowergroup-0015w00002urf3haad/,"Engineering (20%), IT (20%), Industrial (20%), Office Clerical (20%)","Direct Hire (10%), Temp Help (10%), Temp-to-Hire (15%), Long-Term Contract (10%), HR Consulting (10%), Payrolling (10%), Managed Services (10%), Outplacement (10%)",,1975-01-20,Staffing Firm,No,Offer franchises,3,National,19,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.030606+00:00,20260326_090225,5a7ac0b5323c8c3023ca5671d909855e,2026-03-26 10:39:49,2026-03-26 10:39:49,1
82,ResourceMFG,102 Corporate Plaza Drive,Lagrange,Georgia,30241-2883,United States,+17068849494,,https://www.employbridge.net,https://americanstaffing.net/members-directory/resourcemfg-0015w00002urhroaad/,"Health Care (5%), Industrial (60%), Office Clerical (30%), Other (5%)",Temp Help (100%),,2001-04-03,Staffing Firm,No,,80,National,9,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.031570+00:00,20260326_090225,fb611b8f0ce5530296c6d56223f9e63e,2026-03-26 10:39:49,2026-03-26 10:39:49,1
83,Randstad Holding NV,203-E Commerce Ave,Lagrange,Georgia,30241-2358,United States,+17709377000,,https://www.randstadusa.com,https://americanstaffing.net/members-directory/randstad-holding-nv-0015w00002ureu3aal/,"Engineering (5%), Industrial (40%), Office Clerical (50%)","Direct Hire (5%), Temp Help (60%), Temp-to-Hire (5%), Long-Term Contract (15%), HR Consulting (15%), Payrolling (5%)",,1981-02-12,Staffing Firm,No,,12,National,62,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.031570+00:00,20260326_090225,b9d5705b4eb0a39a8e160310ab2ec0cb,2026-03-26 10:39:49,2026-03-26 10:39:49,1
84,MAU Inc.,201 Calumet Center Rd Ste 400,Lagrange,Georgia,30241-6713,United States,+17062984690,,https://www.mau.com,https://americanstaffing.net/members-directory/mau-inc-0015w00002urfe9aad/,"Industrial (85%), Office Clerical (5%)","Temp Help (40%), Temp-to-Hire (10%), Long-Term Contract (10%), HR Consulting (10%), Managed Services (30%)",,2003-01-01,Staffing Firm,No,,36,Regional,5,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.031570+00:00,20260326_090225,c56c7f7192c738fec4cfa3c8aa72585d,2026-03-26 10:39:49,2026-03-26 10:39:49,1
85,The CPI Group,PO Box 828,Columbus,Mississippi,39703-0828,United States,+18885668303,,https://www.cpi-group.com,https://americanstaffing.net/members-directory/the-cpi-group-0015w00002urwdnaax/,"Health Care (5%), IT (5%), Industrial (60%), Legal (5%), Management (5%), Office Clerical (20%)","Direct Hire (20%), Temp Help (5%), Temp-to-Hire (40%), Long-Term Contract (10%), HR Consulting (10%), Payrolling (10%), RPO (5%)",,2015-05-11,Staffing Firm HQ,Yes,,1,Local,1,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.031570+00:00,20260326_090225,247c52dc7467ced817e599d738127241,2026-03-26 10:39:49,2026-03-26 10:39:49,1
86,Qualified Staffing Services Inc.,2500 Military Rd Ste 8,Columbus,Mississippi,39705-2608,United States,+16623278230,,https://www.q-staffing.com,https://americanstaffing.net/members-directory/qualified-staffing-services-inc-0015w00002urffzaat/,"Engineering (5%), Finance (5%), Health Care (5%), IT (5%), Industrial (60%), Management (5%), Office Clerical (15%)","Direct Hire (5%), Temp Help (15%), Temp-to-Hire (20%), Long-Term Contract (30%), MSP (30%)",,2014-01-30,Staffing Firm,No,,25,National,2,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.031570+00:00,20260326_090225,45fa913a67abba0b7d34cc0f3cf56468,2026-03-26 10:39:49,2026-03-26 10:39:49,1
87,Allegiance Staffing LLC,374 S Davis Rd Ste D,Lagrange,Georgia,30241-2591,United States,+12813559222,,https://www.allegiancestaffing.com,https://americanstaffing.net/members-directory/allegiance-staffing-llc-0015w00002urdl3aad/,"Industrial (85%), Office Clerical (10%), Other (5%)","Temp Help (65%), Temp-to-Hire (15%), Long-Term Contract (5%), HR Consulting (5%), Managed Services (10%)",,2005-08-26,Staffing Firm,No,Offer franchises,7,National,2,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.031570+00:00,20260326_090225,92cc12b97c5ef1d4192508726c6ad457,2026-03-26 10:39:49,2026-03-26 10:39:49,1
88,Labor Finders,4400 2nd Ave Unit 7,Columbus,Georgia,31904,United States,+17066609911,,https://www.laborfinders.com,https://americanstaffing.net/members-directory/labor-finders-0015w00002urej2aad/,"Industrial (95%), Office Clerical (5%)","Temp Help (95%), Payrolling (5%)",,1998-01-01,Staffing Firm,No,Offer franchises,11,National,23,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.031570+00:00,20260326_090225,1e03a10b87f029e74d39b330dbf6f7a6,2026-03-26 10:39:49,2026-03-26 10:39:49,1
89,Elwood Staffing Services,428 N Carlisle St Ste F,Albertville,Alabama,35950-1787,United States,+12568785678,,https://www.elwoodstaffing.com,https://americanstaffing.net/members-directory/elwood-staffing-services-0015w00002urfypaa1/,"Engineering (5%), Industrial (80%), Office Clerical (10%)","Direct Hire (5%), Temp Help (5%), Temp-to-Hire (75%), Long-Term Contract (5%), HR Consulting (5%), Payrolling (5%)",,1996-07-15,Staffing Firm,No,,146,National,20,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.031570+00:00,20260326_090225,5f6608b2c638a47382dbae6b554c91c7,2026-03-26 10:39:49,2026-03-26 10:39:49,1
