id,company_name,address,city,state,zip_code,country,phone,email,website,cert_type,certified_tech_count,hvac_specialty,manufacturer_count,has_premium_brands,multi_brand_dealer,carries_geothermal,carries_mini_split,nate_certified_company,affiliate_number,latitude,longitude,distance_miles,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
54,Davco A/C Corp,930 Pleasant Street,Norwood,MA,02062,United States,781-769-2303,davcoair@verizon.net,https://www.davcoair.com,,0,"Amana, American Standard, Bryant, Carrier, Goodman, Heil, International Comfort Products, Lennox, Mitsubishi, Nordyne, Rheem, Ruud, Trane, York",14,Yes,Yes,No,Yes,Yes,C3-99582,42.167888,-71.204911,14.561764964371447,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,ac36a9531386606c0921da03d163e09f,2026-03-25 21:38:45,2026-03-26 10:03:16,0
55,"Acton Refrigeration, Inc.",241 Taylor Street,Littleton,MA,01460,United States,1-800-859-5409,aref241r@yahoo.com,https://actonrefrigeration.com,,0,"Amana, American Standard, Bryant, Carrier, Goodman, Heil, Lennox, Mitsubishi, Nordyne, Rheem, Ruud, Trane, York",13,Yes,Yes,No,Yes,Yes,C3-14921,42.513702,-71.510903,15.337255947079251,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,b1a542e7477b51e6f530b742b90429e7,2026-03-25 21:38:45,2026-03-26 10:03:16,0
56,B & D Air Conditioning & Gas Heating Inc.,80 Plantation Circle,Norwood,MA,02062,United States,781-762-7709,service@bdhvac.com,https://www.bdhvac.com,,0,,0,No,No,No,No,Yes,C3-30171,42.15393,-71.19482,15.57710453740797,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,5a2bcb89f6697a65d174a46b3ba08147,2026-03-25 21:38:45,2026-03-26 10:03:16,0
57,"Nashoba Air, Inc.",527 Great Road,Littleton,MA,01460,United States,978-486-0600,info@nashobaair.com,https://www.nashobaair.com,,0,,0,No,No,No,No,Yes,C3-14584,42.5563239,-71.485002,17.904321440689348,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,61d133f3930fc688825bb338c562e4d2,2026-03-25 21:38:45,2026-03-26 10:03:16,0
58,Climate Technologies,21 Everett Street,Woburn,MA,01801,United States,781-933-7878,quality@ctc4comfort.com,https://www.ctc4comfort.com,,0,,0,No,No,No,No,Yes,C3-55355,42.4808389,-71.1498611,18.80133182418535,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,b3471f315b3529bb214f5bd146b1696b,2026-03-25 21:38:45,2026-03-26 10:03:16,0
59,MAC HVAC,3 Acre Rd,Billerica,MA,01821,United States,978-670-5670,info@mac-hvac.com,https://www.mac-hvac.com,,0,American Standard,1,No,No,No,No,Yes,C3-82067,42.558471,-71.2569,19.770730629070215,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,bd73c33c8227967290fc129c0b9cfa7e,2026-03-25 21:38:45,2026-03-26 10:03:16,0
60,"Total Comfort Mechanical, Inc.",7 Glen Avenue,Burlington,MA,01803,United States,781-697-9016,totalcomfort@live.com,https://www.TotalComfortMech.com,Standard,1,"Amana, American Standard, Goodman, Mitsubishi, Trane",5,Yes,Yes,No,Yes,Yes,C3-69882,42.492857,-71.177398,1.231275419205824,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,fe2b3ab03da1c3df47fb6e03f7b5ae05,2026-03-25 21:38:45,2026-03-26 10:03:16,0
61,Suburban Heating & Cooling Inc.,26 Henshaw St,Woburn,MA,01801,United States,781-932-7815,jf77734@juno.com,https://www.suburbanheatandcooling.com,,0,"American Standard, Bryant, Carrier, Trane",4,Yes,Yes,No,No,Yes,C3-47808,42.47814,-71.118662,2.006284857503875,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,ab5b95001c226dd621990cb06ed1db6f,2026-03-25 21:38:45,2026-03-26 10:03:16,0
62,Central Cooling & Heating,9 N Maple St,Woburn,MA,01801,United States,781-933-8288,bburnett@centralcooling.com,https://www.centralcooling.com,Quality,18,"Carrier, Mitsubishi",2,Yes,No,No,Yes,Yes,C3-27375,42.515243,-71.150003,2.264180603035361,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,ae5c05b8b6afacd8bbd4f1cdd0879ee8,2026-03-25 21:38:45,2026-03-26 10:03:16,0
63,Boston Unique,12 Manison Street #4,Stoneham,MA,02180,United States,781-438-9304,beyet@phillyunique.com,https://www.bostonunique.com,,0,,0,No,No,No,No,Yes,C3-45152,42.4783455,-71.1107262,2.405283800072745,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,834c03a50f1075a140a171931db862af,2026-03-25 21:38:45,2026-03-26 10:03:16,0
64,"Cooling Unlimited, Inc.",565 Main Street,Reading,MA,01867,United States,781-944-1030,sales@coolingunlimitedinc.com,https://www.coolingunlimited.com,,0,,0,No,No,No,No,Yes,C3-27268,42.5230296,-71.1028168,3.92988144499523,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,df08ad654f06bf700acf931e53a95527,2026-03-25 21:38:45,2026-03-26 10:03:16,0
65,Keating Service Co.;Inc.,51 Harrison Ave,Peabody,MA,01960-2239,United States,978-535-6752,emmk911@comcast.net,,,0,,0,No,No,No,No,Yes,C3-36852,42.554829,-71.01718,8.712709989630136,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,34406720cc82073b06a8786f41c8c8fc,2026-03-25 21:38:45,2026-03-26 10:03:16,0
66,American Air Inc.,164 Lorum St.,Tewksbury,MA,01876,United States,978-640-8880,jill@americanairinc.com,https://www.americanairinc.com,,0,,0,No,No,No,No,Yes,C3-40127,42.6214188,-71.2552993,10.787847719842867,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,170fdbecb3d73c7561f97fc12128b46e,2026-03-25 21:38:45,2026-03-26 10:03:16,0
67,Franks Heating Service,555 Woburn St.,Tewksbury,MA,01876,United States,978-851-4403,brianp@franksheating.com,https://www.Franksheating.com,,0,,0,No,No,No,No,Yes,C3-49527,42.6091589,-71.2853322,10.889637004693785,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,011e4cab0dab117a267d5ebc95ef0a1b,2026-03-25 21:38:45,2026-03-26 10:03:16,0
68,NextGen Aire,18 Ayers Village Road Building 1 Unit 4Building 1 Unit 4,Methuen,MA,01844,United States,978-566-9601,matt@nextgen-aire.com,http://www.nextgen-aire.com,Basic,1,"Bryant, Carrier, Goodman, Heil, Mitsubishi, Rheem",6,Yes,Yes,No,Yes,Yes,C3-40913,42.728,-71.181,16.960783453395948,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,5ad93e8f1c36192772fa1d733c150292,2026-03-25 21:38:45,2026-03-26 10:03:16,0
69,Preferred Air Inc,461 Boston St,Topsfield,MA,01983,United States,978-750-8282,tomfavazza@preferredair.com,https://www.PreferredAir.com,,0,"Amana, American Standard, Bryant, Carrier, Goodman, Heil, International Comfort Products, Lennox, Mitsubishi, Nordyne, Rheem, Ruud, Trane, York",14,Yes,Yes,No,Yes,Yes,C3-87097,42.662886,-70.9289452,17.034717595110283,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,f9adfb4d5c93a77ea27093f3d53e8d91,2026-03-25 21:38:45,2026-03-26 10:03:16,0
70,"Summit Air Systems,LLC",20 Ricker Cir,Hamilton,MA,01982,United States,1-888-888-9338,krogers@summitairsystems.com,https://WWW.SUMMITAIRSYSTEMS.COM,,0,,0,No,No,No,No,Yes,C3-70983,42.6239191,-70.8815422,17.115152111615178,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,bfc03a3dc363831b829525ca9544a577,2026-03-25 21:38:45,2026-03-26 10:03:16,0
71,Buonagurio HVAC,9 Campbell St,Methuen,MA,01844,United States,617-334-4444,buonaguriohvac@hotmail.com,https://www.buonaguriohvac.com,,0,,0,No,No,No,No,Yes,C3-97041,42.7454167,-71.1307886,18.170977042248982,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,8a16490c38d22dc320bdf85243b321b9,2026-03-25 21:38:45,2026-03-26 10:03:16,0
72,Dynatemp HVAC Contractors,5 Cedarwood Rd,Gloucester,MA,01930,United States,978-282-4658,tcdynatemphvac@comcast.net,,Quality,1,,0,No,No,No,No,Yes,C3-64568,42.633685,-70.709717,16.971555577244203,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,e21998a63a55a8700363e3b50d1d81a1,2026-03-25 21:38:45,2026-03-26 10:03:16,0
73,"M.J. Evans Company, Inc",35 Riverview Road,Gloucester,MA,01930,United States,978-283-8710,mje@mjevanscompany.com,https://www.mjevanscompany.com,,0,,0,No,No,No,No,Yes,C3-46391,42.631023,-70.6861349,17.7274539808371,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,cca41239449b9d8eb5063cb946c61c72,2026-03-25 21:38:45,2026-03-26 10:03:16,0
74,Neilan Mechanical,,Abington,MA,02351,United States,781-871-9013,neilanmechanical@att.net,,,0,,0,No,No,No,No,Yes,C3-63011,42.1167,-70.9543,17.91656985445218,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.037347+00:00,20260326_094831,5268144a18dd0b1c1bf42bebb851695a,2026-03-25 21:38:45,2026-03-26 10:03:16,0
75,"Reliance Air Systems, Inc",1915 Corporate Park Dr,Pembroke,MA,02359,United States,781-829-8879,info@relianceairsystems.com,https://www.relianceairsystems.com,,0,,0,No,No,No,No,Yes,C3-86825,42.102644,-70.768453,18.056290049089625,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.038344+00:00,20260326_094831,1aa536dd31a8b15cae71a20b95e048d8,2026-03-25 21:38:45,2026-03-26 10:03:16,0
76,Groombridge HVAC,575 Lincoln St,Duxbury,MA,02332,United States,1-781-249-3839,groombridge@msn.com,,,0,,0,No,No,No,No,Yes,C3-70469,42.0682795,-70.7199819,21.302851312353766,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.038344+00:00,20260326_094831,2a6f9a696a5a60e0cf0b30943e9185e6,2026-03-25 21:38:45,2026-03-26 10:03:16,0
77,"James Spearin Heating & Air Conditioning, Inc.",438 County Street,Taunton,MA,02780,United States,1-508-813-7541,jamesspearin@verizon.net,https://spearinhvac.com,,0,,0,No,No,No,No,Yes,C3-94733,41.890199,-71.069783,13.147940495873733,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.038344+00:00,20260326_094831,d99181c25bf5bd11a3105e1b221613d0,2026-03-25 21:38:45,2026-03-26 10:03:16,0
78,Ocean State Air Solutions,1844 E. Main Road,Portsmouth,RI,02871-1236,United States,401-293-0422,amber@oceanstateair.com,http://www.oceanstateair.com,Basic,5,"Bryant, Carrier, Mitsubishi, Rheem",4,Yes,Yes,No,Yes,Yes,C3-40844,41.5815745,-71.2528906,36.0722788156739,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.038344+00:00,20260326_094831,0efcc05ebbaf9cb29b514ed07ded2170,2026-03-25 21:38:45,2026-03-26 10:03:16,0
79,"Cape Cod Comfort Solutions, LLC",,Centerville,MA,02632,United States,508-771-0365,cccomfortsolutions@comcast.net,https://www.capecodcomfortsolutions.com,,0,,0,No,No,No,No,Yes,C3-14466,41.6395483,-70.3297624,47.584651426444694,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.038344+00:00,20260326_094831,aeaa718b893c4d64d9634f1266b06f1d,2026-03-25 21:38:45,2026-03-26 10:03:16,0
80,"Ultra Geothermal, Inc.",358 U.S. 4,Barrington,NH,03825,United States,603-868-7878,drice@ultrageothermal.com,https://www.ultrageothermal.com,,0,"Amana, Bryant",2,No,No,No,No,Yes,C3-13034,43.1516303,-71.0268925,74.0139012268754,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.038344+00:00,20260326_094831,2c972334b7308d185a90733373633277,2026-03-25 21:38:45,2026-03-26 10:03:16,0
81,Robies Heating and Cooling,279 Yarmouth Road,Hyannis,MA,02601,United States,508-775-3083,john@robies.com,https://www.robies.com,,3,"Bryant, Carrier",2,Yes,No,No,No,Yes,C3-78418,41.662012,-70.274889,1.136479137128813,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.038344+00:00,20260326_094831,de5236269a3ccb4a812e0848727f5d7e,2026-03-25 21:38:45,2026-03-26 10:03:16,0
82,E.F. Winslow,8 Reardon Cir,South Yarmouth,MA,02664,United States,508-394-7778,,https://www.efwinslow.com,,0,,0,No,No,No,No,Yes,C3-79893,41.6901889,-70.1907109,5.8640748753156675,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.038344+00:00,20260326_094831,0463102b16663614b7d1cd259dc40602,2026-03-25 21:38:45,2026-03-26 10:03:16,0
83,"Harwich Port Heating, Cooling & Electric Inc.",461 Lower County Road,Harwich Port,MA,02646,United States,508-432-3959,hvacreaton@comcast.net,https://www.trane.com,,0,,0,No,No,No,No,Yes,C3-95270,41.6673987,-70.0795237,11.250415277769841,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.038344+00:00,20260326_094831,7e8b78e3363d8ddd2adb649f8448a031,2026-03-25 21:38:45,2026-03-26 10:03:16,0
84,Souza's Heating and Air Conditioning,50 Lots Hollow Road,Orleans,MA,02653,United States,508-255-1669,jss1@souzaheatandcooling.com,,,0,,0,No,No,No,No,Yes,C3-10362,41.774734,-69.9995749,17.28109338926984,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.038344+00:00,20260326_094831,a7f784f2e02a75d7f2b1d501e5dc45b0,2026-03-25 21:38:45,2026-03-26 10:03:16,0
85,Lennox NAS,3511 NE 22nd Ave,Ft Lauderdale,FL,33308,United States,904-838-6047,paul.foden@lennoxnas.com,https://www.lennoxnas.com/,,7,Lennox,1,Yes,No,No,No,Yes,C3-40785,26.1706232,-80.1181262,1205.5907882701733,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.038344+00:00,20260326_094831,9b64e2558adace7c0dd5be34d6b9ff8e,2026-03-25 21:38:45,2026-03-26 10:03:16,0
86,Calibrating Air Heating & Cooling Inc.,4575 Galley Rd Ste 100B,Colorado Springs,CO,80915,United States,719-491-2971,bartf@calibratingair.com,https://www.calibratingair.com,Basic,2,"Goodman, Lennox, Rheem, Trane",4,Yes,Yes,No,No,Yes,C3-40502,38.8466301,-104.7427423,1819.1105247030525,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.038344+00:00,20260326_094831,cca044f6afa2ea1e6a469603b9c38275,2026-03-25 21:38:45,2026-03-26 10:03:16,0
87,Yavapai Plumbing and Heating,5860 N Fulton Dr BLDGBLDG,Prescott Valley,AZ,86314,United States,928-776-7025,yphservice@ypeinc.com,https://www.ypeinc.com,,0,"Amana, American Standard, Bryant, Carrier, Goodman, Heil, International Comfort Products, Lennox, Nordyne, Rheem, Ruud, Trane, WaterFurnace, York",14,Yes,Yes,Yes,No,Yes,C3-40377,34.6272478,-112.3233616,2316.2023643382986,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.038344+00:00,20260326_094831,426fee443e4a3fdb3590f7688803c724,2026-03-25 21:38:45,2026-03-26 10:03:16,0
88,National Refrigeration,3600 W Shore Rd,Warwick,RI,02886,United States,401-737-2000,,https://nhvacservice.com,,0,Carrier,1,Yes,No,No,No,Yes,C3-28828,41.698425,-71.450812,14.473921309937554,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.038344+00:00,20260326_094831,0d03cbfe0c774139ca5ee6235663074c,2026-03-25 21:38:45,2026-03-26 10:03:16,0
89,Marc's Sheet Metal Inc.,37 9th St,Warren,MA,02720,United States,508-675-3180,,https://www.lennoxdealer.com/marcssheetmetal/,,0,,0,No,No,No,No,Yes,C3-12024,41.7182,-71.14,14.973187952916847,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.038344+00:00,20260326_094831,aa290cf85185e00845af5362cd1b4520,2026-03-25 21:38:45,2026-03-26 10:03:16,0
90,Mutual Engineering,25 stafford st,Warwick,RI,02886,United States,401-351-3900,tomdarl@cox.net,,,0,,0,No,No,No,No,Yes,C3-77772,41.729121,-71.464879,16.62139652413886,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.038344+00:00,20260326_094831,944c48108d0f6a087147248f77d24baf,2026-03-25 21:38:45,2026-03-26 10:03:16,0
91,Regan Heating and Air Conditioning,235 Georgia Avenue,Providence,RI,02905,United States,401-461-8100,emccann@reganhvac.com,https://www.reganhvac.com,,0,,0,No,No,No,No,Yes,C3-94891,41.7913843,-71.4020166,19.036839252807603,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.038344+00:00,20260326_094831,3f8dd3dce3bfe0a7a4d0d198236e61b9,2026-03-25 21:38:45,2026-03-26 10:03:16,0
92,JMB Mechanical Inc.,,Cranston,RI,02920,United States,401-944-7500,jmb@110.net,,,0,,0,No,No,No,No,Yes,C3-97377,41.7716,-71.4659,19.139838413157555,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.038344+00:00,20260326_094831,fdf078dc1167d8676d08dafe29c8e21b,2026-03-25 21:38:45,2026-03-26 10:03:16,0
93,Providence Mechanical Services LLC,4 Glossop St,Providence,RI,02911,United States,401-578-9030,pmshvac@cox.net,,,0,,0,No,No,No,No,Yes,C3-96203,41.8386103,-71.4693077,23.348145585481646,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.038344+00:00,20260326_094831,959c6d26864316a597667cdfc35318c3,2026-03-25 21:38:45,2026-03-26 10:03:16,0
94,GB Heating & Air Conditioning,25 Danbury Circle,Amherst,NH,03031,United States,603-801-9227,garrett@gbheating.com,https://www.gbheating.com,,0,,0,No,No,No,No,Yes,C3-63434,42.83595,-71.5792647,2.0366955297078606,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.038344+00:00,20260326_094831,4ba1e2ccc9970a63a4191b6fa7e02404,2026-03-25 21:38:45,2026-03-26 10:03:16,0
95,Sanford Temperature Control Inc.,292 Nashua Street,Milford,NH,03055,United States,603-672-1643,dsanford@sanfordtemp.com,https://www.sanfordtemp.com,,0,,0,No,No,No,No,Yes,C3-29256,42.8335845,-71.6447279,2.483137001809031,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.038344+00:00,20260326_094831,d19511c6137566f5771571fbbae26fdc,2026-03-25 21:38:45,2026-03-26 10:03:16,0
96,"Custom Climates HVAC, LLC",465 DW Highway,Merrimack,NH,03054,United States,603-262-1623,jon@nh-hvac.com,https://www.nh-hvac.com,,0,,0,No,No,No,No,Yes,C3-70615,42.8657759,-71.4932725,5.832853249985588,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.038344+00:00,20260326_094831,48ed6a66926ccb8305d2ab17496eca8b,2026-03-25 21:38:45,2026-03-26 10:03:16,0
97,Chris Kelsall HVAC,po box 4191,manchester,NH,03108,United States,603-231-9388,ckhvac2@yahoo.com,https://ckhvac.com,,0,,0,No,No,No,No,Yes,C3-55092,42.9521,-71.6539,6.980624382057409,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.038344+00:00,20260326_094831,19698c6a5e0e28193db98cca75f64457,2026-03-25 21:38:45,2026-03-26 10:03:16,0
98,"Absolute Mechanical Systems, LLC",2 Quimby Road P.O. Box 128,Brookline,NH,03033,United States,603-249-9800,kevin@absolutemechanical.com,https://www.absolutemechanical.com,,0,,0,No,No,No,No,Yes,C3-97093,42.7543797,-71.673218,7.82540793860653,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.038344+00:00,20260326_094831,2b4f934068de805d89c79379d859ad3d,2026-03-25 21:38:45,2026-03-26 10:03:16,0
99,AHC Heating & A.C.,17 Inca dr.,nashua,NH,03063,United States,603-557-0863,flexht1@verizon.net,,,0,,0,No,No,No,No,Yes,C3-38292,42.7515466,-71.5085667,8.841515591548097,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.038344+00:00,20260326_094831,512226ece10a7ee53e65802bc1311a85,2026-03-25 21:38:45,2026-03-26 10:03:16,0
100,"Wilkins Mechanical Services, Inc",7 Bellemore Dr#1,Bedford,NH,03110,United States,603-647-7741,todd@wmshvac.com,https://www.wmshvac.com,,0,,0,No,No,No,No,Yes,C3-23003,42.9726635,-71.5121928,9.34020811923216,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.038344+00:00,20260326_094831,5b57f314b16d87d0ca0797323a7cee14,2026-03-25 21:38:45,2026-03-26 10:03:16,0
